image,st,bunya,ans,imans1,imans2,imans3,effect_type,power,question
小数(小学校).png,3,小数,5.6,56,4.1,3.516,attack,5,3.5 × 1.6 を計算しなさい。
小数(小学校).png,3,小数,0.56,5.6,56,1.5,heal,5,0.7 × 0.8 を計算しなさい。
小数(小学校).png,3,小数,2.5,25,0.25,3.5,attack,5,12.5 ÷ 5 を計算しなさい。
小数(小学校).png,3,小数,200,20,2000,160,heal,5,1mの値段が80円のリボンがあります。このリボン2.5mの代金はいくらですか？
小数(小学校).png,3,小数,9,0.9,8,90,attack,5,7.2Lの油を、0.8Lずつびんに入れます。びんは何本できますか？
小数(小学校).png,4,小数,4,4.2,0.4,40,heal,7,8.4 ÷ 2.1 を計算しなさい。
小数(小学校).png,4,小数,3.5,35,3.05,4,attack,7,9.1 ÷ 2.6 を計算しなさい。
小数(小学校).png,4,小数,6.7,6.6,7,6.66,heal,7,20÷3を、小数第2位を四捨五入して小数第1位まで求めなさい。
小数(小学校).png,4,小数,4.8,48,4.2,5,attack,7,面積が31.2cm_で、横の長さが6.5cmの長方形のたての長さは何cmですか？
小数(小学校).png,4,小数,6,0.6,60,5,heal,7,4.5Lのジュースを、0.75Lずつコップに分けます。コップは何個必要ですか？
小数(小学校).png,5,小数,6,4,5.5,60,attack,10,(1.8+2.2)×1.5 を計算しなさい。
小数(小学校).png,5,小数,5,105,11.5,17.5,heal,10,20 - 2.5 × 6 を計算しなさい。
小数(小学校).png,5,小数,9,4,10.8,8,attack,10,赤いテープは5m、青いテープは赤いテープの0.8倍の長さです。2本のテープの長さの合計は何mですか？
小数(小学校).png,5,小数,2.3,11.5,3,2.5,heal,10,15kgのお米を、最初に3.5kg使いました。残りを5つのふくろに等しく分けると、1ふくろあたり何kgになりますか？
小数(小学校).png,5,小数,14.4,28.8,10.9,144,attack,10,たて4.5m、横6.4mの畑に、1m_あたり0.5kgの肥料をまきます。全部で何kgの肥料が必要ですか？
分数(小学校).png,1,分数, 3/5, 2/5, 2/7, 1/5,attack,3,1/5 + 2/5 を計算しなさい。
分数(小学校).png,1,分数, 3/7, 5/7, 1/5,1,heal,3,4/7 - 1/7 を計算しなさい。
分数(小学校).png,1,分数, 1/4, 3/4, 1/2,1  1/3 ,attack,3,1 - 3/4 を計算しなさい。
分数(小学校).png,1,分数,  7/9 ,  7/18,  1/3 ,1,heal,1,2/9 + 5/9 を計算しなさい。
分数(小学校).png,1,分数,  7/8 ,  1/8 ,1  1/7 ,8,attack,1,ピザを8つに切りました。そのうちの1つを食べました。残りは全体のどれだけですか？
分数(小学校).png,2,分数,1と3/5,1と2/5,  3/5 ,1と3/10,heal,2,1と1/5 + 2/5 を計算しなさい。
分数(小学校).png,2,分数,1と1/2,1と4/8,1と3/8,  1/2 ,attack,2,2と5/8 - 1と1/8 を計算し、約分しなさい。
分数(小学校).png,2,分数,  3/5 ,  3/10,  1/2 ,  3/50,heal,2,3/5 を、分母が10の分数になおしなさい。
分数(小学校).png,2,分数,同じ,1/2が大きい,2/4が大きい,わからない,attack,2,1/2 と 2/4 の大きさはどちらが大きいですか？
分数(小学校).png,2,分数,  1/2 ,2,1,  1/4 ,heal,2,1Lのジュースを2人で等しく分けると、1人分は何Lですか？
分数(小学校).png,3,分数,  5/6 ,  2/5 ,  1/6 ,  1/5 ,attack,3,1/2 + 1/3 を計算しなさい。
分数(小学校).png,3,分数,  7/20,1,  2/3 ,  1/4 ,heal,3,3/4 - 2/5 を計算しなさい。
分数(小学校).png,3,分数,2  2/3 ,6,2と2/3,  1/6 ,attack,3,2/3 × 4 を計算しなさい。
分数(小学校).png,3,分数,  5/12,1  2/3 ,1  2/3 ,2と2/5,heal,3,5/6 ÷ 2 を計算しなさい。
分数(小学校).png,3,分数,2  1/4 ,1  3/4 ,2と1/4,2,attack,3,帯分数の 2と1/4 を仮分数に直しなさい。
分数(小学校).png,4,分数,  8/15,  3/4 ,1,  2/15,heal,4,2/3 × 4/5 を計算しなさい。
分数(小学校).png,4,分数,1  1/4 ,1,1と1/4,  5/9 ,attack,4,5/6 ÷ 2/3 を計算しなさい。
分数(小学校).png,4,分数,  3/10,  3/10,  5/6 ,1,heal,4,3/4 mのリボンの、2/5 の長さは何mですか？
分数(小学校).png,4,分数,4,  1/4 ,12,3,attack,4,2/3 kgの小麦粉を、1/6 kgずつ袋に分けます。何袋できますか？
分数(小学校).png,4,分数,  1/2 ,  5/7 ,2,  1/3 ,heal,4,1時間で 3/4 km歩く人は、2/3 時間で何km歩きますか？
分数(小学校).png,5,分数,  7/12,  1/4 ,  1/8 ,  7/24,attack,5,1/2 + 1/3 × 1/4 を計算しなさい。
分数(小学校).png,5,分数,1  1/4 ,  1/20,1,1と1/4,heal,5,(3/4 - 1/2) ÷ 1/5 を計算しなさい。
分数(小学校).png,5,分数,1  7/8 ,  3/10,1と7/8,  8/15,attack,5,2/5 Lのペンキで 3/4 m_ぬれます。このペンキ1Lでは何m_ぬれますか？
分数(小学校).png,5,分数,40,30,80,  2/3 ,heal,5,ある水槽を満水にするのにA管で1時間、B管で2時間かかります。両方使うと何分かかりますか？
分数(小学校).png,5,分数,3000,2500,1500,5000,attack,5,兄と弟の所持金の比は3:2で、兄が弟に500円あげると同じ額になりました。はじめの兄の所持金はいくらですか？
方程式.png,1,方程式,1,2,-1,3,heal,2,2x + 3 = 5
方程式.png,1,方程式,-2,-3,-4,-5,attack,3,6x + 4 = -8
方程式.png,1,方程式,3,4,5,2,attack,4,5x + 3 = 18
方程式.png,1,方程式,-3,-4,-2,-5,defense,3,8x + 6 = -18
方程式.png,1,方程式,-2,-1,0,-3,defense,4,-2x + 3 = 5
方程式.png,2,方程式,(c-b)/a,(b-c)/a,(c-a)/b,(b-a)/c,attack,3,方程式 (ax + b = c) を解くと、x = ?
方程式.png,2,方程式,(b-c)/a,(c-b)/a,(c+a)/b,(b+a)/c,attack,4,方程式 (-ax + b = c) を解くと、x = ?
方程式.png,2,方程式,(c+b)/a,(c-b)/a,(b-c)/a,(b+a)/c,defense,4,方程式 (ax - b = c) を解くと、x = ?
方程式.png,2,方程式,-(c+b)/a,-(c+a)/b,(b-c)/a,(c+b)/a,heal,4,方程式 (ax + b = -c) を解くと、x = ?
方程式.png,2,方程式,(c-b)/a,(b-c)/a,(c+b)/a,-(c+b)/a,attack,7,方程式 (-ax - b = -c) を解くと、x = ?
方程式.png,3,方程式,3,2,4,-1,heal,4,3x + 2 = 4x － 1
方程式.png,3,方程式,3,4,5,1,attack,5,2x + 5 = 5x － 4
方程式.png,3,方程式,1月2日,1月3日,2,1,attack,6,-4x + 2 = 6x － 3
方程式.png,3,方程式,7月13日,-0.076923077,1月13日,-0.538461538,attack,5,-7x + 3 = 6x － 4
方程式.png,3,方程式,2,-1,12,-2,defense,5,6x + -7 = -6x － 5
方程式.png,4,方程式,"4,12","3,9","5,15","6,18",attack,6,合計が16になるような2つの数のうち、一方は他方の3倍であるとき、その2つの数は？
方程式.png,4,方程式,2時間半,3時間,1時間半,1時間,attack,7,時速60kmの車が、150km先の目的地に辿り着くには何時間掛かる？
方程式.png,4,方程式,5x+3,3x+5,x+3,5x,heal,5,5人にリンゴを均等に分けると、リンゴが3つ余った。リンゴの総数はどの関数で表せる？
方程式.png,4,方程式,1600,1200,1800,1500,defense,5,ある本の価格は定価の80%。定価が2000円のとき、実際の価格は？
方程式.png,4,方程式,220,120,160,240,attack,6,ある池には100匹の魚がいる。毎月20匹ずつ増えるとき、半年後に池にいる魚の数は？
方程式.png,5,方程式,6.25,5.5,8.75,5.25,attack,7,合計が25になるような2つの数のうち、一方は他方の3倍であるとき、小さい方の数は？
方程式.png,5,方程式,25,20,15,10,attack,8,公園にいる鳥の数は、猫の数の2倍より5匹多い。猫が10匹いるなら、鳥は何匹いる？
方程式.png,5,方程式,51200,25600,102400,64000,defense,9,8人のグループで、1人あたり1日800円ずつ費用を負担するとき、グループ全体で8日間の活動費用は合計でいくら？
方程式.png,5,方程式,2475,2500,2250,2525,heal,9,5000円の商品が50%割引されて、さらに10%の割引が適用された後、消費税の10%が加算された場合、最終的な価格はいくら？
方程式.png,5,方程式,1980,2100,1800,1890,attack,9,3000円の商品が30%割引されて、さらに300円の割引が適用された後、消費税の10%が加算された場合、最終的な価格はいくら？
連立方程式.png,1,連立方程式,"x=8,y=2","x=6,y=4","x=6,y=2","x=4,y=4",defense,1,{_(x+y=10@2y=4)┤
連立方程式.png,1,連立方程式,"x=3,y=4","x=2,y=4","x=4,y=4","x=4,y=2",defense,2,{_(2x+y=10@y+1=5)┤
連立方程式.png,1,連立方程式,"x=1,y=2","x=2,y=2","x=-1,y=2","x=-1/2,y=3",attack,3,{_(2x+3y=8@3y=6)┤
連立方程式.png,1,連立方程式,"x=3,y=0","x=3/2,y=2","x=0,y=4","x=2,y=1",attack,3,{_(4x+3y=12@y-2=-2)┤
連立方程式.png,1,連立方程式,"x=15,y=5","x=10,y=10","x=5,y=15","x=20,y=10",heal,2,{_(x+y=20@x-y=10)┤
連立方程式.png,2,連立方程式,"x=3,y=-1/2","x=1,y=1/2","x=2,y=-1/3","x=4,y=-1",attack,4,{_(x+2y=2@x-2y=4)┤
連立方程式.png,2,連立方程式,"x=2,y=1","x=2,y=-1","x=3,y=1","x=1/3,y=3",attack,5,{_(3x+2y=7@x+y=3)┤
連立方程式.png,2,連立方程式,"x=3,y=0","x=0,y=4","x=4,y=1","x=-1,y=2",heal,3,{_(4x+3y=12@x-y=3)┤
連立方程式.png,2,連立方程式,"x=3,y=1","x=2,y=-2","x=2,y=0","x=1,y=3",attack,5,{_(x-y=2@3x-y=8)┤
連立方程式.png,2,連立方程式,"x=3,y=-4","x=3,y=4","x=2,y=-5","x=0,y=5",heal,4,{_(x-y=7@3x+y=5)┤
連立方程式.png,3,連立方程式,"x=13/2,y=-9/4","x=-9/2,y=13/2","x=11/2,y=-11/2","x=11/2,y=-9/2",attack,5,{_(x+2y=2@x-2y=11)┤
連立方程式.png,3,連立方程式,"x=13/10,y=-9/4","x=9/4,y=3/4","x=15/4,y=-15/4","x=2,y=-4",defense,5,{_(5x+2y=2@5x-2y=11)┤
連立方程式.png,3,連立方程式,男性14名・女性7名,男性7名・女性14名,男性5名・女性16名,男性12名・女性6名,defense,5,ある大会の参加者は男女計 21 人。男性の人数は女性の人数の2倍であるとき、男性と女性のそれぞれの人数は？
連立方程式.png,3,連立方程式,1000円,1500円,1300円,800円,attack,5,商品Aの値段は、商品Bの値段の1.5倍であり、商品Aを2点、商品Bを1点購入したところ、3500円となった。商品Aの値段は？
連立方程式.png,3,連立方程式,"毎分8L=20分,毎分12L=10分","毎分8L=15分,毎分12L=15分","毎分8L=18分,毎分12L=12分","毎分8L=22分,毎分12L=8分",heal,5,容積が280リットルの浴槽に毎分8Lで水を入れ続け、その後毎分12Lに変更し水を入れ続けたら30分で満杯となった。それぞれの時間を求めよ。
連立方程式.png,4,連立方程式,"x=5/2,y=9/4","x=-5/2,y=9/4","x=3/4,y=25/4","x=1,y=3",attack,7,{_(3x+2y=12@2x+4y=14)┤
連立方程式.png,4,連立方程式,解は存在しない,"x=2,y=1","x=4,y=0","x=5,y=1/8",heal,5,{_(8x+16y=24@32x+64y=128)┤
連立方程式.png,4,連立方程式,男性19名・女性8名,男性15名・女性12名,男性8名・女性19名,男性21名・女性6名,defense,6,ある大会の参加者は男女計 27 人。男性の人数は女性の人数の3倍より5人少ないとき、男性と女性のそれぞれの人数は？
連立方程式.png,4,連立方程式,2325円,3225円,2125円,2875円,attack,6,商品Aの値段は、商品Bの値段の3倍であり、商品Aを3点、商品Bを3点購入したところ、9300円となった。商品Aの値段は？
連立方程式.png,4,連立方程式,"毎分8L=28分,毎分14L=4分","毎分8L=24分,毎分14L=8分","毎分8L=20分,毎分14L=12分","毎分8L=16分,毎分14L=16分",heal,6,容積が280リットルの浴槽に毎分8Lで水を入れ続け、その後毎分14Lに変更し水を入れ続けたら32分で満杯となった。それぞれの時間を求めよ。
連立方程式.png,5,連立方程式,"x=26/17,y=2/17","x=2/17,y=26/17",解は存在しない,"x=2/17,y=35/17",attack,9,{_(x+4y=2@4x-y=6)┤
連立方程式.png,5,連立方程式,"x=41/13,y=38/13","x=38/13,y=41/13","x=3,y=3","x=-38/13,y=-41/13",heal,8,{_(5x-3y=7@x+2y=9)┤
連立方程式.png,5,連立方程式,363,282,525,444,defense,7,3桁の自然数がある。3桁全ての和は12であり、一の位と百の位は同じ数である。また、百の位と十の位を入れ替えてできる自然数は元の数より270大きい。元の自然数は？
連立方程式.png,5,連立方程式,1200,1000,800,1400,attack,7,商品Aの値段は、商品Bの値段の1.2倍である。商品Aを4点、商品Bを2点購入したところ、商品Bが1つ半額となり、総額9300円となった。商品Aの値段は？
連立方程式.png,5,連立方程式,60L,30L,75L,15L,heal,7,容積が130リットルの浴槽に毎分4Lで水を入れ続け、その5分後に毎分10Lに変更し、さらにその後毎分3Lに変更し水を入れ続けたら30分で満杯となった。毎分3分の時に入れた水の総量を求めよ。
二次方程式.png,1,二次方程式,x=3,x=2,x=5,x=4,attack,1,x^2=9
二次方程式.png,1,二次方程式,"x=0,-2",x=0,x=-√2,"x=0,2",attack,2,x^2+2x=0
二次方程式.png,1,二次方程式,"x=-3,1","x=1,3","x=-1,3","x=-3,-1",defense,2,x^2+2x-3=0
二次方程式.png,1,二次方程式,"x=2,-3","x=-2,-3","x=2,3","x=-2,3",defense,1,(x-2)(x+3)=0
二次方程式.png,1,二次方程式,"x=2,3","x=-2,-3","x=2,-3","x=-2,3",heal,2,x^2-5x+6=0
二次方程式.png,2,二次方程式,(-b±√(b^2-4ac))/2a,(b±√(b^2-4ac))/2a,(-b±√(b^2+4ac))/2a,(b±√(b^2+4ac))/2a,attack,4,二次方程式ax^2+bx+c=0の解の公式は？
二次方程式.png,2,二次方程式,D=b^2-4ac,D=a^2-4bc,D=c^2-4ab,D=a+b+c,defense,4,二次方程式ax^2+bx+c=0の判別式は何と表せられる？
二次方程式.png,2,二次方程式,1つ,2つ,実数解を持たない,場合による,attack,3,二次方程式ax^2+bx+c=0の判別式Dにおいて、D=0だった場合、解の個数は？
二次方程式.png,2,二次方程式,2つ,1つ,実数解を持たない,場合による,defense,3,二次方程式ax^2+bx+c=0の判別式Dにおいて、Dが正の数だった場合、解の個数は？
二次方程式.png,2,二次方程式,実数解を持たない,2つ,1つ,場合によると思う,heal,3,二次方程式ax^2+bx+c=0の判別式Dにおいて、Dが負の数だった場合、解の個数は？
二次方程式.png,3,二次方程式,"x=-1,3","x=-3,1","x=-3,-1","x=1,3",attack,4,2x^2-4x-6=0
二次方程式.png,3,二次方程式,x=-5,x=5,x=0,x=-10,defense,4,x^2+10x+25=0
二次方程式.png,3,二次方程式,"x=-1/3,1,","x=-1,1/3","x=-1,-1/3","x=1/3,1",attack,5,3x^2-2x-1=0
二次方程式.png,3,二次方程式,"x=0,4/3","x=0,-4/3","x=0,2/3","x=0,-2/3",defense,5,6x^2-8x=0
二次方程式.png,3,二次方程式,x=1/2,x=-1/2,x=0,解なし,heal,4,4x^2-4x+1=0
二次方程式.png,4,二次方程式,6,4,5,7,attack,5,ある正方形の縦の長さを3cm短くし、横の長さを1cm長くすると、面積は21cm^2となった。元の正方形の一辺の長さは？
二次方程式.png,4,二次方程式,4,3,5,6,attack,6,ある自然数と、それに5を足した数の積は36である。ある自然数とは？
二次方程式.png,4,二次方程式,2x^2+3x-2=0,x^2+3x-2=0,2x^2+3x-1=0,x^2+3x+2=0,defense,5,"x=1/2,x=-2を解に持つ二次方程式はどれ？"
二次方程式.png,4,二次方程式,2x^2+7x-15=0,x^2-7x+15=0,x^2-21x+5=0,x^2-10x+25=0,defense,6,"x=-3/2,x=5を解に持つ二次方程式はどれ？"
二次方程式.png,4,二次方程式,x^2+1=-101x/10,x^2+10x+1=0,x^2+1=-99x/10,x^2+1=-100x/9,heal,6,"x=-1/10,x=-10を解に持つ二次方程式はどれ？"
二次方程式.png,5,二次方程式,17,15,19,21,attack,8,ある正方形の縦の長さを10cm短くし、横の長さを15cm長くすると、面積は元の面積より65cm^2小さくなった。元の正方形の一辺の長さは？
二次方程式.png,5,二次方程式,3,4,5,6,attack,9,ある自然数と、それに7を掛けた後十の位と一の位の数を入れ替えた数の積は36である。ある自然数とは？
二次方程式.png,5,二次方程式,4,-2,-4,2,defense,8,二次方程式-x^2+ax-8=0の1つの解が2であるとき、もう1つの解は？
二次方程式.png,5,二次方程式,5,3,-1.5,-5,heal,7,二次方程式2x^2+13x-b=0の1つの解が3/2であるとき、もう1つの解は？
二次方程式.png,5,二次方程式,x=±√61/4,x=±1,x=±√21/4,x=±9/4,defense,7,16x^2-25x-36=0
平方根.png,1,平方根,5,3,4,6,attack,2,√25？
平方根.png,1,平方根,4,3,5,6,attack,2,√16？
平方根.png,1,平方根,7,6,8,9,defense,2,√49？
平方根.png,1,平方根,11,9,12,13,defense,3,√121？
平方根.png,1,平方根,9,7,11,5,heal,2,√16+√25=？
平方根.png,2,平方根,12,11,13,14,attack,3,√144？
平方根.png,2,平方根,25,21,23,27,attack,3,√225？
平方根.png,2,平方根,3,1,2,4,defense,3,√(25-16)=？
平方根.png,2,平方根,5√2,2√5,6,4√3,defense,4,√(14+36)=？
平方根.png,2,平方根,6√2,4√2,6√3,6√6,heal,4,√6×2√3=？
平方根.png,3,平方根,27,32,21,25,attack,5,√729？
平方根.png,3,平方根,32,16,24,36,attack,6,√1024？
平方根.png,3,平方根,2√2 + 1,2 + √2 ,4√2 + 1,4+ √2,defense,4,(4+√2)/√2=？
平方根.png,3,平方根,-3-2√2,-3-2√3,-1-2√2,1+2√2,defense,5,(1+√2)/(1-√2)=？
平方根.png,3,平方根,|x+12y|,|4x+3y|,|2x+6y|,|x+6y|,heal,7,√(x^2+24xy+144y)？
平方根.png,4,平方根,128,256,192,144,attack,8,√16384？
平方根.png,4,平方根,210√5,210√10,220√5,200√10,attack,6,5√180+180√5=？
平方根.png,4,平方根,36,32,28,42,defense,8,√1296？
平方根.png,4,平方根,127+48√7,129+24√7,129+48√7,127+24√7,defense,6,(8+3√7)/(8-3√7)=？
平方根.png,4,平方根,|4x+3y|,|3x+4y|,|6x+2y|,|2x+6y|,heal,9,√(16x^2+24xy+144y^2)？
平方根.png,5,平方根,98,97,99,96,attack,9,√9604？
平方根.png,5,平方根,1004,1006,1003,1002,defense,10,√1008016？
平方根.png,5,平方根,20√22,19√19,21√17,21√23,attack,9,√1782+√2662=？
平方根.png,5,平方根,0.48,0.42,0.49,0.45,defense,9,√0.0625+√0.0529
平方根.png,5,平方根,25,20,50,21,heal,10,"自然数n,mが√(100+n)=m√5を満たすとき、取りうる最小のnの値は？"
確率.png,1,確率,1月2日,1月3日,1月4日,1月6日,attack,1,サイコロを1回振ったとき、出る目が偶数である確率は？
確率.png,1,確率,1月2日,1月3日,1月4日,1月6日,attack,1,コインを1回投げたとき、表が出る確率は？
確率.png,1,確率,2月3日,1月3日,0,1,defense,1,赤、白、白のボールがそれぞれ1つずつ入った袋から1つボールを取り出すとき、白いボールが出る確率は？
確率.png,1,確率,1月4日,1月2日,1月3日,1,defense,1,12本中3本が当たりのくじで、当たりを引く確率は？
確率.png,1,確率,1月4日,1月3日,3月8日,1月6日,heal,2,正八面体のサイコロ(1~8が出るサイコロ)を1回振った時、出た目が3の倍数である確率は？
確率.png,2,確率,1月6日,1/36,1月12日,1月4日,attack,3,2つのサイコロを同時に振るとき、和が7になる確率は？
確率.png,2,確率,1/36,1月6日,1月12日,1月4日,attack,2,サイコロを2回振るとき、どちらも6が出る確率は？
確率.png,2,確率,1,0,1月2日,1月6日,defense,3,サイコロを1回振るとき、目が出る確率は？
確率.png,2,確率,1月2日,1月3日,1月4日,1月6日,defense,2,サイコロを1回振るとき、素数が出る確率は？
確率.png,2,確率,1/216,1/36,1月6日,1/512,heal,3,サイコロを3回振るとき、3回とも1が出る確率は？
確率.png,3,確率,25/52,1月2日,1月4日,6月13日,attack,4,2枚のカードを同時に引くとき、2枚とも赤いカード（ハートまたはダイヤ）を引く確率は？
確率.png,3,確率,1月4日,1月6日,3月8日,1月16日,attack,5,コインを4回投げたとき、表が3回だけ（裏が1回だけ）出る確率は？
確率.png,3,確率,2月7日,3月7日,1月6日,1月7日,defense,5,袋の中に青いボールが3個、緑のボールが4個入っている。2個同時にボールを取り出すとき、青と緑のボールが出る確率は？
確率.png,3,確率,1月2日,1月3日,1月4日,1月6日,defense,6,サイコロを2回振って、目の和が偶数になる確率は？
確率.png,3,確率,1月4日,1月3日,1月2日,1月6日,heal,6,サイコロを2回振って、目の積が奇数になる確率は？
確率.png,4,確率,91/216,125/216,116/216,83/216,attack,7,サイコロを3回投げるとき、少なくとも1回は6が出る確率は？
確率.png,4,確率,11月16日,5月16日,3月8日,1月4日,attack,8,コインを4回投げるとき、表が2回以上出る確率は？
確率.png,4,確率,1/55,1/60,1月30日,1/64,defense,7,袋の中に青いボールが3個、緑のボールが4個、赤いボールが5個入っている。同時に3個ボールを取り出すとき、全て緑のボールが出る確率は？
確率.png,4,確率,5月12日,13/36,5/36,1月6日,defense,8,サイコロを2回振って、目の和が素数になる確率は？
確率.png,4,確率,1月24日,1/36,1/72,1/48,heal,9,サイコロを3回振って、目の積が素数になる確率は？
確率.png,5,確率,2月5日,1月3日,1月5日,5月21日,attack,9,1から15までの番号が書かれた15枚のカードがある。この中から2枚のカードを取り出すとき、その和が15より小さい確率は？
確率.png,5,確率,5/108,1月24日,1/36,11/216,attack,8,サイコロを3回投げる。目の和が6である確率は？
確率.png,5,確率,5月18日,7月18日,1/36,3月8日,defense,9,サイコロを4回投げる。全ての目が異なる確率は？
確率.png,5,確率,5/72,1月6日,2月27日,5/216,defense,10,サイコロを3回振って、目の積が12になる確率は？
確率.png,5,確率,1月2日,1月3日,1月4日,1月6日,heal,8,1・2・3・4から異なる3つの数字をランダムに選んで3桁の整数を作るとき、それが3の倍数である確率は？
"二次関数,png",1,二次関数,0,1,2,3,attack,1,f(x)=x^2-3x+2でx=2のとき、f(x)の値は？
"二次関数,png",1,二次関数,23,5,1,-1,attack,2,f(x)=2x^2-6x+3でx=-2のとき、f(x)の値は？
"二次関数,png",1,二次関数,"(3,4)","(3,2)","(-3,4)","(3,-4)",defense,2,y=2(x-3)^2+4の頂点の座標は？
"二次関数,png",1,二次関数,"(2,0),(-4,0)","(-2,0),(4,0)","(2,0),(-8,0)","(-2,0),(8,0)",defense,1,y=(x-2)(x+4)とx軸の交点は？
"二次関数,png",1,二次関数,"(0,-8)","(0,8)","(0,6)","(0,-6)",heal,2,y=(x-2)(x+4)とy軸の交点は？
